Index,NAME,INCHIKEY,superclass,subclass,FORMULA,ExactMass,Dot,Cos,Dot_MI,Diff,Match,entropy,jaccard,TP,FP,FN,TN,TPR,missed in QCEIMS predicted spectra
23," 2-Buten-1-ol, (E)-, TMS derivative",RQYBDDHHZHXTRM-AATRIKPKSA-N,alcohol,aliphatic, C7H16OSi,144.097042,"836,937","231,445","777,541","59,397","658,725","0,499","0,477",21,8,15,655,"0,913043478","0,416666667"
24," 2-Buten-1-ol, (Z)-, TMS derivative",RQYBDDHHZHXTRM-WAYWQWQTSA-N,alcohol,aliphatic, C7H16OSi,144.097042,"794,336","256,908","617,708","176,628","636,589","0,543","0,5",21,11,15,652,"0,807692308","0,416666667"
25," 3-Buten-2-ol, TMS derivative",KGURQEYMEHYOKV-UHFFFAOYSA-N,alcohol,aliphatic, C7H16OSi,144.097042,"863,568","404,688","611,744","251,824","671,449","0,57","0,512",20,13,18,648,"0,64516129","0,473684211"
26," 2-Buten-1-ol, TMS derivative",RQYBDDHHZHXTRM-AATRIKPKSA-N,alcohol,aliphatic, C7H16OSi,144.097042,"782,541","219,799","844,158","61,617","643,841","0,487","0,448",19,8,17,655,"0,76","0,472222222"
27," Cyclobutanol, TMS derivative",RZDUHLVFFSFXEY-UHFFFAOYSA-N,alcohol,aliphatic, C7H16OSi,144.097042,"427,153","355,845","450,512","23,359","392,214","0,498","0,456",19,23,13,644,"0,527777778","0,40625"
28," 3-Buten-1-ol, TMS derivative",CIECCHPUBGAKKT-UHFFFAOYSA-N,alcohol,aliphatic, C7H16OSi,144.097042,"531,326","508,074","501,848","29,477","473,217","0,597","0,614",26,20,10,643,"0,866666667","0,277777778"
29," 2-Methallyl alcohol, TMS derivative",VTDVCNBADIDXGN-UHFFFAOYSA-N,alcohol,aliphatic, C7H16OSi,144.097042,"832,558","492,676","707,105","125,453","609,899","0,529","0,333",16,26,6,651,"0,5","0,272727273"
30," N-Methylacetamide, TMS derivative",QHUOBLDKFGCVCG-UHFFFAOYSA-N,amides,aliphatic, C6H15NOSi,145.092291,"822,389","487,213","627,457","194,932","649,44","0,724","0,625",23,15,8,653,1,"0,258064516"
31," Diethylamine, TMS derivative",JOOMLFKONHCLCJ-UHFFFAOYSA-N,amines,aliphatic, C7H19NSi,145.128676,"760,42","652,714","827,961","67,541","605,057","0,721","0,634",29,13,3,654,"1,8125","0,09375"
32," tert-Butylamine, TMS derivative",GVHIREZHTRULPT-UHFFFAOYSA-N,amines,aliphatic, C7H19NSi,145.128676,"583,908","682,933","527,496","56,411","503,157","0,691","0,506",20,16,6,657,"0,909090909","0,230769231"
33," Propanoic acid, TMS derivative",QVSRWXFOZLIWJS-UHFFFAOYSA-N,acid,aliphatic, C6H14O2Si,146.076306,"610,877","405,798","608,574","2,303","497,878","0,579","0,514",18,14,9,658,"0,782608696","0,333333333"
34," 1,1-Dimethylethanol, TMS derivative",PGZGBYCKAOEPQZ-UHFFFAOYSA-N,alcohol,aliphatic, C7H18OSi,146.112692,"598,772","262,803","546,589","52,183","513,059","0,476","0,37",14,13,17,655,"0,466666667","0,548387097"
35," 2-Butanol, TMS derivative",NPVKWWQBIVSLRO-UHFFFAOYSA-N,alcohol,aliphatic, C7H18OSi,146.112692,"618,458","357,779","659,408","40,95","518,801","0,549","0,574",18,13,11,657,"0,75","0,379310345"
36," Isobutanol, TMS derivative",ZQINJXJSYYRJIV-UHFFFAOYSA-N,alcohol,aliphatic, C7H18OSi,146.112692,"551,745","279,804","406,167","145,578","450,902","0,423","0,514",13,20,13,653,"0,393939394","0,5"
37," 1-Butanol, TMS derivative",YTJUXOIAXOQWBV-UHFFFAOYSA-N,alcohol,aliphatic, C7H18OSi,146.112692,"676,325","554,38","540,677","135,648","542,67","0,628","0,582",25,17,7,650,"1,041666667","0,21875"
38," Glycine, TMS derivative",PYEWXFVCJUWAPS-UHFFFAOYSA-N,acid,aliphatic, C5H13NO2Si,147.071555,"706,288","660,834","449,235","257,053","606,469","0,657","0,536",16,9,20,654,"0,551724138","0,555555556"
39," 3-Aminopropanol, TMS derivative",VTBPVFUOJWSMHY-UHFFFAOYSA-N,alcohol,aliphatic, C6H17NOSi,147.107941,"489,131","284,124","555,659","66,528","448,767","0,509","0,521",30,7,23,639,1,"0,433962264"
40," Methoxyformic acid, TMS derivative",ZGOHBIWYJKOJEE-UHFFFAOYSA-N,acid,aliphatic, C5H12O3Si,148.055571,"864,655","430,567","284,144","580,511","601,93","0,508","0,2",8,27,1,663,"0,285714286","0,111111111"
41," Glycolic acid, TMS derivative",URTIXQAZBNOKIR-UHFFFAOYSA-N,acid,aliphatic, C5H12O3Si,148.055571,"522,129","706,26","514,012","8,118","455,014","0,655","0,493",19,11,12,657,"0,826086957","0,387096774"
42," 1,3-Propanediol, TMS derivative",GVDWMUZJTUETPO-UHFFFAOYSA-N,alcohol,aliphatic, C6H16O2Si,148.091956,"479,562","192,447","437,331","42,231","438,337","0,461","0,525",21,18,8,652,"0,807692308","0,275862069"
43," 2-Methoxyethanol, TMS derivative",HRDKXAGASFLTCG-UHFFFAOYSA-N,alcohol,aliphatic, C6H16O2Si,148.091956,"583,518","480,208","503,213","80,305","520,864","0,676","0,566",25,15,7,652,"1,136363636","0,21875"
44," 2-Mercaptoethanol, TMS derivative",HTHGXLACOYESSV-UHFFFAOYSA-N,alcohol,aliphatic, C5H14OSSi,150.053463,"626,705","276,692","529,543","97,163","485,218","0,476","0,506",22,24,11,642,"0,628571429","0,333333333"
45," Methanesulfinic acid, TMS derivative",KEDKLJYQJMFUGN-UHFFFAOYSA-N,alcohol,aliphatic, C4H12O2SSi,152.032727,"744,384","218,805","538,257","206,127","525,142","0,445","0,433",22,15,9,653,"0,916666667","0,290322581"
46," 2-Penten-4-yn-1-ol, TMS derivative",JTJMOVOIAXPQTN-UHFFFAOYSA-N,alcohol,aliphatic, C8H14OSi,154.081391,"743,145","280,628","573,763","169,382","623,902","0,462","0,44",18,8,41,632,"0,367346939","0,694915254"
47," 2-Butynoic acid, TMS derivative",SOAHOCIFKIHEAX-UHFFFAOYSA-N,acid,aliphatic, C7H12O2Si,156.060657,"515,076","344,344","432,722","82,354","456,958","0,45","0,391",13,8,36,642,"0,295454545","0,734693878"
48," 2-Cyclopropylethenol, TMS derivative",YUEJLXANOXNEAC-VOTSOKGWSA-N,alcohol,aliphatic, C8H16OSi,156.097042,"858,967","506,213","685,506","173,461","629,955","0,63","0,675",36,18,25,620,"0,837209302","0,409836066"
49," 2-Methyl-3-butyn-2-ol, TMS derivative",JNRUXZIXAXHXTN-UHFFFAOYSA-N,alcohol,aliphatic, C8H16OSi,156.097042,"444,024","193,858","406,539","37,485","407,098","0,373","0,505",12,18,18,651,"0,333333333","0,6"
50," 2-Pyrrolidinone, TMS derivative",LUBVCBITQHEVCJ-UHFFFAOYSA-N,amides,aliphatic, C7H15NOSi,157.092291,"825,578","555,903","698,279","127,299","649,539","0,704","0,598",33,21,13,632,"0,970588235","0,282608696"
51," Cyclopentanamine, TMS derivative",OJZSTMVNBQINBV-UHFFFAOYSA-N,amines,aliphatic, C8H19NSi,157.128676,"772,448","449,665","840,962","68,514","625,347","0,665","0,719",33,18,8,640,"1,269230769","0,195121951"
52," Piperidine, TMS derivative",WLADIVUISABQHN-UHFFFAOYSA-N,amines,aliphatic, C8H19NSi,157.128676,"885,767","687,117","701,83","183,937","669,224","0,81","0,681",36,11,7,645,2,"0,162790698"
53," 3-Butenoic acid, TMS derivative",NJLWVYLLRXIFHK-UHFFFAOYSA-N,acid,aliphatic, C7H14O2Si,158.076306,"427,954","569,875","461,173","33,219","395,314","0,569","0,531",20,15,17,647,"0,625","0,459459459"
54," Methacrylic acid, TMS derivative",PGQNYIRJCLTTOJ-UHFFFAOYSA-N,acid,aliphatic, C7H14O2Si,158.076306,"689,278","633,449","459,231","230,047","598,477","0,727","0,494",18,14,12,655,"0,692307692","0,4"
55," 4-Penten-1-ol, TMS derivative",XGPXKYJNRNGJPY-UHFFFAOYSA-N,alcohol,aliphatic, C8H18OSi,158.112692,"588,342","375,698","651,508","63,166","497,896","0,569","0,612",39,12,13,635,"1,56","0,25"
56," 2-Penten-1-ol, (Z)-, TMS derivative",XWKAOAUZLJPSHQ-SREVYHEPSA-N,alcohol,aliphatic, C8H18OSi,158.112692,"528,795","129,08","488,315","40,48","429,629","0,41","0,596",25,14,19,641,"0,757575758","0,431818182"
57," Prenol, TMS derivative",ROGGYZJIWCZIQA-UHFFFAOYSA-N,alcohol,aliphatic, C8H18OSi,158.112692,"708,121","203,652","603,178","104,942","572,28","0,489","0,546",23,13,17,646,"0,766666667","0,425"
58," Cyclopentanol, TMS derivative",OBVCVCYWTYHPPB-UHFFFAOYSA-N,alcohol,aliphatic, C8H18OSi,158.112692,"878,651","370,947","740,364","138,287","643,355","0,588","0,667",24,16,11,648,"0,888888889","0,314285714"
59," 3-Methyl-3-buten-1-ol, TMS derivative",JHTHPYMRROBKBP-UHFFFAOYSA-N,alcohol,aliphatic, C8H18OSi,158.112692,"651,481","469,383","511,89","139,591","530,467","0,608","0,663",29,25,13,632,"0,763157895","0,30952381"
60," 4-Penten-2-ol, TMS derivative",FEKDDBYWIMYNGO-UHFFFAOYSA-N,alcohol,aliphatic, C8H18OSi,158.112692,"554,611","537,861","449,751","104,86","469,982","0,587","0,57",23,27,9,640,"0,638888889","0,28125"
61," 2-Methyl-3-buten-2-ol, TMS derivative",BLBZOGHDVSJFBH-UHFFFAOYSA-N,alcohol,aliphatic, C8H18OSi,158.112692,"678,442","268,831","528,31","150,132","568,792","0,497","0,619",20,18,19,642,"0,540540541","0,487179487"
62," Morpholine, TMS derivative",JJOWIQMPCCUIGA-UHFFFAOYSA-N,amines,aliphatic, C7H17NOSi,159.107941,"931,105","580,9","774,794","156,311","729,394","0,768","0,671",28,3,18,650,"1,333333333","0,391304348"
63," Butylmethylamine, TMS derivative",ASJPGFUJHDBHBA-UHFFFAOYSA-N,amines,aliphatic, C8H21NSi,159.144326,"657,567","719,65","537,96","119,607","552,816","0,697","0,5",29,15,9,646,"1,208333333","0,236842105"
64," Neopentylamine, TMS derivative",NLBVAOHPBWOCFH-UHFFFAOYSA-N,amines,aliphatic, C8H21NSi,159.144326,"594,517","754,346","439,438","155,079","532,436","0,717","0,595",23,21,7,648,"0,821428571","0,233333333"
65," Pyruvic acid, TMS derivative",KILXEJUPHXXGCP-UHFFFAOYSA-N,acid,aliphatic, C6H12O3Si,160.055571,"653,966","826,183","615,329","38,636","555,74","0,742","0,453",13,11,15,660,"0,5","0,535714286"
66," 2-Methylpropanoic acid, TMS derivative",IHTVTNNAFDOJBO-UHFFFAOYSA-N,acid,aliphatic, C7H16O2Si,160.091956,"620,243","627,019","361,216","259,027","475,705","0,618","0,484",17,15,16,651,"0,548387097","0,484848485"
67," Acetoin, TMS derivative",SCHPFYABZNRJOB-UHFFFAOYSA-N,alcohol,aliphatic, C7H16O2Si,160.091956,"691,246","650,78","542,774","148,472","586,898","0,699","0,56",22,23,7,647,"0,733333333","0,24137931"
68," 2-Butene-1,4-diol, TMS derivative",VLZHDKBZADCWHN-SNAWJCMRSA-N,alcohol,aliphatic, C7H16O2Si,160.091956,"368,458","129,257","498,825","130,367","348,609","0,429","0,641",30,23,8,638,"0,967741935","0,210526316"
69," Butyric Acid, TMS derivative",YOXUKTJZXUYZMV-UHFFFAOYSA-N,acid,aliphatic, C7H16O2Si,160.091956,"720,846","575,07","580,484","140,361","578,284","0,634","0,578",25,16,12,646,"0,892857143","0,324324324"
70," Neopentyl alcohol, TMS derivative",CFUAMMVVJMPPLD-UHFFFAOYSA-N,alcohol,aliphatic, C8H20OSi,160.128342,"674,155","476,424","469,094","205,061","581,109","0,591","0,511",22,17,13,647,"0,733333333","0,371428571"
71," 1-Pentanol, TMS derivative",UABFFWVEXACZGD-UHFFFAOYSA-N,alcohol,aliphatic, C8H20OSi,160.128342,"601,543","377,092","466,772","134,771","493,53","0,525","0,542",23,18,11,647,"0,793103448","0,323529412"
72," 3-Methyl-2-butanol, TMS derivative",UJIMSYYOGKAJIM-UHFFFAOYSA-N,alcohol,aliphatic, C8H20OSi,160.128342,"599,498","330,805","574,362","25,136","491,482","0,527","0,576",19,19,9,652,"0,678571429","0,321428571"
73," 2-Pentanol, TMS derivative",GRSPKXMQYAOQBM-UHFFFAOYSA-N,alcohol,aliphatic, C8H20OSi,160.128342,"568,373","293,331","647,236","78,863","451,065","0,493","0,595",21,19,9,650,"0,75","0,3"
74," 2-Methyl-2-butanol, TMS derivative",FAOKBCUOLAZFHY-UHFFFAOYSA-N,alcohol,aliphatic, C8H20OSi,160.128342,"601,437","299,94","629,228","27,791","520,685","0,517","0,565",22,15,8,654,"0,956521739","0,266666667"
75," 2-Methyl-1-butanol, TMS derivative",NHRBDJIQRIQUHD-UHFFFAOYSA-N,alcohol,aliphatic, C8H20OSi,160.128342,"629,767","501,383","489,63","140,137","508,523","0,579","0,649",22,24,7,646,"0,709677419","0,24137931"
76," Isoamyl alcohol, TMS derivative",ZYQPBYVVLYYAQX-UHFFFAOYSA-N,alcohol,aliphatic, C8H20OSi,160.128342,"601,007","494,039","515,138","85,869","502,603","0,569","0,618",26,19,12,642,"0,838709677","0,315789474"
77," L-Alanine, TMS derivative",OTZAXEIMULLWKT-UHFFFAOYSA-N,acid,aliphatic, C6H15NO2Si,161.087205,"468,994","762,541","183,51","285,484","402,375","0,649","0,521",9,21,11,658,"0,28125","0,55"
78," .beta.-Alanine, TMS derivative",LZYJRNYRJJQAEJ-UHFFFAOYSA-N,acid,aliphatic, C6H15NO2Si,161.087205,"506,579","156,094","306,216","200,363","454,669","0,368","0,367",14,16,19,650,"0,4","0,575757576"
79," Methyl aminoacetate, TMS derivative",IXVIBJMDQXQASU-UHFFFAOYSA-N,amines,aliphatic, C6H15NO2Si,161.087205,"635,983","719,256","424,938","211,046","533,588","0,698","0,5",26,14,11,648,"1,04","0,297297297"
80," 2-(Dimethylamino)ethanol, TMS derivative",HSFUOEGYCLVWCE-UHFFFAOYSA-N,alcohol,aliphatic, C7H19NOSi,161.12359,"615,076","579,691","379,531","235,545","472,891","0,582","0,338",15,30,4,650,"0,441176471","0,210526316"
81," 4-Amino-1-butanol, TMS derivative",LDNHMLRKFLFPIV-UHFFFAOYSA-N,alcohol,aliphatic, C7H19NOSi,161.12359,"724,716","387,043","675,138","49,578","595,427","0,59","0,55",41,7,23,628,"1,366666667","0,359375"
82," Methoxyacetic acid, TMS derivative",KKFWQXJBWDWATB-UHFFFAOYSA-N,acid,aliphatic, C6H14O3Si,162.07122,"516,577","845,276","558,807","42,229","475,468","0,744","0,507",16,9,15,659,"0,666666667","0,483870968"
83," Methyl glycolate, TMS derivative",ZVLICNQMTMDFFC-UHFFFAOYSA-N,alcohol,aliphatic, C6H14O3Si,162.07122,"470,553","360,541","474,412","3,859","412,192","0,527","0,433",14,10,15,660,"0,56","0,517241379"
84," 1-Butanethiol, TMS derivative",GTZSIXUFBXARQI-UHFFFAOYSA-N,thiols,aliphatic, C7H18SSi,162.0898485,"741,672","537,434","320,864","420,808","551,207","0,533","0,277",9,27,6,657,"0,272727273","0,4"
85," tert-Butyl hydroperoxide, TMS derivative",XTXFUQOLBKQKJU-UHFFFAOYSA-N,alcohol,aliphatic, C7H18O2Si,162.107606,"859,557","235,893","306,804","552,752","595,3","0,427","0,325",10,17,3,669,"0,5","0,230769231"
86," 2-Ethoxyethanol, TMS derivative",QXFMGPZJCKOKTK-UHFFFAOYSA-N,alcohol,aliphatic, C7H18O2Si,162.107606,"493,834","639,546","588,717","94,883","471,327","0,671","0,4",23,10,16,650,"0,884615385","0,41025641"
87," 1-Methoxy-2-propanol, TMS derivative",NWBDNWPZFNUJHX-UHFFFAOYSA-N,alcohol,aliphatic, C7H18O2Si,162.107606,"548,332","793,021","472,823","75,508","433,959","0,706","0,517",15,16,10,658,"0,576923077","0,4"
88," Aniline, TMS derivative",IPJPAQIHUIKFLV-UHFFFAOYSA-N,amines,aromatic, C9H15NSi,165.097376,"819,115","487,233","685,46","133,655","662,143","0,619","0,373",19,13,18,649,"0,612903226","0,486486486"
89," Phenol, TMS derivative",OJAJJFGMKAZGRZ-UHFFFAOYSA-N,alcohol,aromatic, C9H14OSi,166.081391,"837,802","513,621","798,899","38,902","673,138","0,642","0,511",17,23,16,643,"0,435897436","0,484848485"
90," 4-Pyridinol, TMS derivative",LEMXOCROJQSQFD-UHFFFAOYSA-N,alcohol,aromatic, C8H13NOSi,167.07664,"873,111","741,554","706,141","166,97","690,779","0,702","0,468",18,25,14,642,"0,461538462","0,4375"
91," 3-Pyridinol, TMS derivative",KFFLURFUDWDCFK-UHFFFAOYSA-N,alcohol,aromatic, C8H13NOSi,167.07664,"826,019","710,256","664,806","161,213","680,506","0,692","0,381",19,17,20,643,"0,513513514","0,512820513"
92," Methanesulfonic acid, TMS derivative",BCHASIUOFGDRIO-UHFFFAOYSA-N,alcohol,aliphatic, C4H12O3SSi,168.027642,"211,244","94,08","189,364","21,88","198,085","0,296","0,455",13,21,8,657,"0,448275862","0,380952381"
93," 3,5-Dimethylpyrazole, TMS derivative",NCSQQLIUPOKCKU-UHFFFAOYSA-N,amines,aromatic, C8H16N2Si,168.108275,"800,665","543,984","681,684","118,981","662,169","0,574","0,466",23,14,30,632,"0,522727273","0,566037736"
94," Furfuryl alcohol, TMS derivative",XMYNYTWIFJIYBS-UHFFFAOYSA-N,alcohol,aliphatic, C8H14O2Si,170.076306,"816,087","872,153","654,349","161,738","637,208","0,725","0,472",21,24,16,638,"0,525","0,432432432"
95," 2-Cyclohexen-1-ol, TMS derivative",FKFGNRAGIVMYRD-UHFFFAOYSA-N,alcohol,aliphatic, C9H18OSi,170.112692,"905,298","217,723","696,186","209,112","693,918","0,474","0,403",19,14,21,645,"0,542857143","0,525"
96," 1,5-Hexadien-3-ol, TMS derivative",KSWXTPDLFZIMTK-UHFFFAOYSA-N,alcohol,aliphatic, C9H18OSi,170.112692,"517,867","376,574","371,645","146,222","452,18","0,517","0,519",19,21,17,642,"0,5","0,472222222"
97," 1-Methyl-1H-tetrazol-5-amine, TMS derivative",ZDAVXQHVHZXPTF-UHFFFAOYSA-N,amines,aromatic, C5H13N5Si,171.094022,"656,67","379,958","548,937","107,733","567,842","0,517","0,413",19,11,28,641,"0,487179487","0,595744681"
98," Hexamethylenimine, TMS derivative",GXLZMBVLJWXRIB-UHFFFAOYSA-N,amines,aliphatic, C9H21NSi,171.144326,"801,945","668,822","710,517","91,428","628,833","0,663","0,384",24,25,14,636,"0,615384615","0,368421053"
100," 4-Pentenoic acid, TMS derivative",BCGPZCSDYLUCTL-UHFFFAOYSA-N,acid,aliphatic, C8H16O2Si,172.091956,"528,941","384,241","301,587","227,354","463,522","0,506","0,412",16,20,20,643,"0,4","0,555555556"
101," 2-Pentenoic acid, (E)-, TMS derivative",WAMZVTSONPSLNR-VOTSOKGWSA-N,acid,aliphatic, C8H16O2Si,172.091956,"447,901","335,419","325,785","122,116","439,188","0,526","0,484",19,16,32,632,"0,395833333","0,62745098"
102," 3,3-Dimethylacrylic acid, TMS derivative",KNFZPFSOTLGZEE-UHFFFAOYSA-N,acid,aliphatic, C8H16O2Si,172.091956,"728,658","417,884","554,76","173,899","593,738","0,609","0,51",19,12,26,642,"0,5","0,577777778"
103," Tiglic acid, TMS derivative",GZQWHCAXPCOMTD-SREVYHEPSA-N,acid,aliphatic, C8H16O2Si,172.091956,"538,983","395,824","419,257","119,726","483,408","0,563","0,455",19,19,20,641,"0,487179487","0,512820513"
104," 2-Hexen-1-ol, (Z)-, TMS derivative",JLSKQCUTNMNICQ-FPLPWBNLSA-N,alcohol,aliphatic, C9H20OSi,172.128342,"527,888","157,137","432,596","95,293","462,778","0,439","0,537",26,15,26,632,"0,634146341","0,5"
105," Cyclohexanol, TMS derivative",PGRDNHQIURCHPZ-UHFFFAOYSA-N,alcohol,aliphatic, C9H20OSi,172.128342,"783,112","206,03","554,503","228,609","598,255","0,511","0,642",23,20,22,634,"0,547619048","0,488888889"
106," 3-Hexen-1-ol, (E)-, TMS derivative",PJFYSSLVAVPJTO-VOTSOKGWSA-N,alcohol,aliphatic, C9H20OSi,172.128342,"475,778","478,711","430,921","44,857","425,011","0,595","0,651",30,28,9,632,"0,810810811","0,230769231"
107," 3-Hexen-1-ol, (Z)-, TMS derivative",PJFYSSLVAVPJTO-SREVYHEPSA-N,alcohol,aliphatic, C9H20OSi,172.128342,"490,023","398,297","356,104","133,919","436,795","0,561","0,639",27,28,17,627,"0,6","0,386363636"
108," 1-Aminocyclopropanecarboxylic acid, TMS derivative",PUBUDJVXVXUTKX-UHFFFAOYSA-N,acid,aliphatic, C7H15NO2Si,173.087205,"817,036","494,305","556,657","260,378","643,919","0,6","0,667",31,22,19,627,"0,756097561","0,38"
109," Diacetyl monoxime, TMS derivative",CDZVVEGABVSNKE-VURMDHGXSA-N,alcohol,aliphatic, C7H15NO2Si,173.087205,"730,274","635,008","711,85","18,424","571,796","0,664","0,593",22,6,20,651,"0,846153846","0,476190476"
110," 2-Ethylbutylamine, TMS derivative",CHFNURONSPGXNM-UHFFFAOYSA-N,amines,aliphatic, C9H23NSi,173.159976,745,"552,717","410,496","334,504","623,81","0,697","0,663",24,22,2,651,1,"0,076923077"
111," Diisopropylamine, TMS derivative",GEZQRKBBRMOCSP-UHFFFAOYSA-N,amines,aliphatic, C9H23NSi,173.159976,"670,041","385,75","507,056","162,985","535,321","0,612","0,649",19,11,12,657,"0,826086957","0,387096774"
112," 2-Ketobutyric acid, TMS derivative",FDGFSLJBVKGLCO-UHFFFAOYSA-N,acid,aliphatic, C7H14O3Si,174.07122,"428,165","789,019","321,798","106,367","433,521","0,632","0,456",11,16,20,652,"0,305555556","0,64516129"
113," 1-Methoxy-2-methylprop-1-en-1-ol, TMS derivative",JNOGVQJEBGEKMG-UHFFFAOYSA-N,alcohol,aliphatic, C8H18O2Si,174.107606,"817,49","635,984","406,421","411,068","640,291","0,651","0,5",23,30,11,635,"0,56097561","0,323529412"
114," Tetrahydro-2-furanylmethanol, TMS derivative",UYAAAZBWOYCABT-UHFFFAOYSA-N,alcohol,aliphatic, C8H18O2Si,174.107606,"582,277","473,09","382,814","199,463","490,608","0,574","0,521",25,27,10,637,"0,675675676","0,285714286"
115," 2-Methylbutanoic acid, TMS derivative",NYTDWQKKBSMLGY-UHFFFAOYSA-N,acid,aliphatic, C8H18O2Si,174.107606,"511,589","638,945","604,816","93,226","461,757","0,621","0,419",21,21,7,650,"0,75","0,25"
116," 3-Methylbutanoic acid, TMS derivative",FEUVPJCEKKEDPZ-UHFFFAOYSA-N,acid,aliphatic, C8H18O2Si,174.107606,"564,427","450,85","514,597","49,83","475,854","0,552","0,438",21,21,12,645,"0,636363636","0,363636364"
117," Pentanoic acid, TMS derivative",KBBNGLHDTQGESG-UHFFFAOYSA-N,acid,aliphatic, C8H18O2Si,174.107606,"602,611","485,3","474,918","127,694","500,031","0,612","0,588",27,19,13,640,"0,84375","0,325"
