compound_name	formula	inchi	isomeric_smiles
2,4,4'-Trichlorobiphenyl	C12H7Cl3	InChI=1S/C12H7Cl3/c13-9-3-1-8(2-4-9)11-6-5-10(14)7-12(11)15/h1-7H	C1=CC(=CC=C1C2=C(C=C(C=C2)Cl)Cl)Cl
1,4,5,6,7,7-hexachloro-N-ethyl-bicyclo [2,2,1]hept-5-en-2,3-dicarboximide	C11H7Cl6NO2	InChI=1S/C11H7Cl6NO2/c1-2-18-7(19)3-4(8(18)20)10(15)6(13)5(12)9(3,14)11(10,16)17/h3-4H,2H2,1H3/t3-,4+,9-,10+	C1(=O)N(C([C@@]2([C@]3(C(=C([C@]([C@]12[H])(Cl)C3(Cl)Cl)Cl)Cl)Cl)[H])=O)CC
1-Aminoxy-1-bromobutan-2-ol	C4H10BrNO2	InChI=1S/C4H10BrNO2/c1-2-3(7)4(5)8-6/h3-4,7H,2,6H2,1H3	CCC(C(ON)Br)O
1-Aminoxy-1-chlorobutan-2-ol 	C4H10ClNO2	InChI=1S/C4H10ClNO2/c1-2-3(7)4(5)8-6/h3-4,7H,2,6H2,1H3	CCC(C(ON)Cl)O
3-chloro-2-methylbutan-2-ol 	C5H11ClO	InChI=1S/C5H11ClO/c1-4(6)5(2,3)7/h4,7H,1-3H3	CC(C(C)(C)O)Cl
3-bromo-2-methylbutan-2-ol	C5H11BrO	InChI=1S/C5H11BrO/c1-4(6)5(2,3)7/h4,7H,1-3H3	CC(C(C)(C)O)Br
N-Nitrosodimethylamine	C2H6N2O	InChI=1S/C2H6N2O/c1-4(2)3-5/h1-2H3	CN(C)N=O
Bis(isopropylphenyl) phenylphosphate	C24H27O4P	InChI=1S/C24H27O4P/c1-18(2)21-14-8-10-16-23(21)27-29(25,26-20-12-6-5-7-13-20)28-24-17-11-9-15-22(24)19(3)4/h5-19H,1-4H3	CC(C)C1=CC=CC=C1OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3C(C)C
Resorcinol bis(diphenylphosphate)	C30H24O8P2	InChI=1S/C30H24O8P2/c31-39(33-25-14-5-1-6-15-25,34-26-16-7-2-8-17-26)37-29-22-13-23-30(24-29)38-40(32,35-27-18-9-3-10-19-27)36-28-20-11-4-12-21-28/h1-24H	C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC(=CC=C3)OP(=O)(OC4=CC=CC=C4)OC5=CC=CC=C5
Tributyl phosphate	C12H27O4P	InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3	CCCCOP(=O)(OCCCC)OCCCC
Trichloroethyl phosphate	C6H12Cl3O4P	InChI=1S/C6H12Cl3O4P/c7-1-4-11-14(10,12-5-2-8)13-6-3-9/h1-6H2	C(CCl)OP(=O)(OCCCl)OCCCl
Tris(1,3-dichloro-2-propyl)phosphate	C9H15Cl6O4P	InChI=1S/C9H15Cl6O4P/c10-1-7(2-11)17-20(16,18-8(3-12)4-13)19-9(5-14)6-15/h7-9H,1-6H2	C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl
Tris(isobutylphenyl)phosphate	C30H39O4P	InChI=1S/C30H39O4P/c1-22(2)19-25-7-13-28(14-8-25)32-35(31,33-29-15-9-26(10-16-29)20-23(3)4)34-30-17-11-27(12-18-30)21-24(5)6/h7-18,22-24H,19-21H2,1-6H3	CC(C)CC1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)CC(C)C)OC3=CC=C(C=C3)CC(C)C
Tricresyl phosphate	C21H21O4P	InChI=1S/C21H21O4P/c1-16-4-10-19(11-5-16)23-26(22,24-20-12-6-17(2)7-13-20)25-21-14-8-18(3)9-15-21/h4-15H,1-3H3	CC1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)C)OC3=CC=C(C=C3)C
Triphenyl phosphate	C18H15O4P	InChI=1S/C18H15O4P/c19-23(20-16-10-4-1-5-11-16,21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H	C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3
